cnum,cl_ava_2,cl_freq_2,cl_ava_3,cl_freq_3,cl_ava_4,cl_freq_4,cl_ava_5,cl_freq_5,cl_ava_6,cl_freq_6,cl_ava_7,cl_freq_7,cl_ava_8,cl_freq_8,cl_ava_9,cl_freq_9,cl_ava_10,cl_freq_10,cl_ava_11,cl_freq_11,cl_ava_12,cl_freq_12,cl_ava_13,cl_freq_13,cl_ava_14,cl_freq_14,com_ava_2,com_freq_2,com_ava_3,com_freq_3,com_ava_4,com_freq_4,com_ava_5,com_freq_5,com_ava_6,com_freq_6,com_ava_7,com_freq_7,com_ava_8,com_freq_8,com_ava_9,com_freq_9,com_ava_10,com_freq_10,com_ava_11,com_freq_11,com_ava_12,com_freq_12,com_ava_13,com_freq_13,com_ava_14,com_freq_14
EEVNYX,1269.25,4.0,1037.0,5.0,1074.0,5.0,1387.0,4.0,1038.0,2.0,1302.857142857143,7.0,1625.8,5.0,1687.6666666666667,3.0,1138.25,8.0,1135.5714285714287,7.0,1322.75,4.0,1941.0,2.0,1281.5,6.0,732.54,2.0,612.0,1.0,0.0,0.0,333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,1.0,409.02500000000003,2.0,0.0,0.0,647.0,1.0,1938.57,1.0,609.0,1.0
QTRPPN,1675.3333333333333,3.0,997.4285714285714,7.0,711.6,5.0,1362.0,4.0,0.0,0.0,1165.0,3.0,1022.5,4.0,1271.2,5.0,1397.5,2.0,880.1442857142857,7.0,956.3333333333334,6.0,1049.0,6.0,1341.3333333333333,6.0,789.9000000000001,3.0,505.52,2.0,771.7199999999999,3.0,1355.08,2.0,723.445,4.0,1279.3983333333333,6.0,281.28,6.0,1204.1166666666666,3.0,602.5514285714286,7.0,845.85,2.0,397.02,2.0,403.025,4.0,1103.385,2.0
ELUMY1,191.71428571428572,7.0,161.83333333333334,6.0,490.5,2.0,209.0,5.0,336.6,5.0,299.8,5.0,194.8,5.0,129.0,5.0,176.71428571428572,7.0,149.28571428571428,7.0,129.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.9,1.0,0.0,0.0,46.49,1.0,779.93,1.0,0.0,0.0,237.4,2.0,0.0,0.0,0.0,0.0,383.9,1.0,724.86,2.0,0.0,0.0
EEK1GD,837.6,5.0,413.0,3.0,1036.0,2.0,543.2,5.0,2338.0,3.0,2165.75,4.0,1262.0,6.0,1978.5,4.0,1228.857142857143,7.0,1093.5,4.0,1018.6,5.0,1006.5,4.0,1895.5,4.0,0.0,0.0,0.0,0.0,299.2,1.0,13.99,1.0,0.0,0.0,0.0,0.0,1384.21,2.0,742.5500000000001,6.0,0.0,0.0,485.105,2.0,0.0,0.0,716.2025000000001,4.0,431.09,3.0
ELRY5I,98.0,1.0,0.0,0.0,132.5,4.0,201.0,7.0,185.0,8.0,160.6,5.0,153.33333333333334,6.0,461.5,4.0,122.2,5.0,0.0,0.0,88.5,2.0,185.25,8.0,352.2,5.0,0.0,0.0,99.0,1.0,0.0,0.0,252.59500000000003,4.0,165.32333333333335,3.0,141.2,2.0,137.81666666666666,3.0,264.15999999999997,2.0,63.5,2.0,0.0,0.0,220.0,1.0,185.385,4.0,24.9,1.0
E4AFXH,0.0,0.0,93.57142857142857,7.0,124.8,5.0,76.0,5.0,99.0,1.0,111.8,5.0,82.33333333333333,3.0,71.0,5.0,123.16666666666667,6.0,91.0,5.0,58.0,4.0,145.8,5.0,106.75,4.0,170.28,3.0,158.35333333333332,3.0,125.98499999999999,2.0,67.94500000000001,2.0,190.73,4.0,44.99,1.0,59.19500000000001,2.0,69.59,2.0,350.29,5.0,118.99,1.0,141.894,5.0,131.756,5.0,103.49000000000001,4.0
RIPPTM,1567.5,2.0,2253.0,5.0,1603.25,4.0,2630.6666666666665,3.0,2981.0,4.0,1696.6666666666667,3.0,1634.3333333333333,6.0,1363.2,5.0,2587.6666666666665,3.0,2629.3333333333335,3.0,2086.0,4.0,1539.6666666666667,6.0,3273.5,4.0,2993.6,1.0,0.0,0.0,0.0,0.0,1309.09,1.0,0.0,0.0,0.0,0.0,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.325,6.0,493.7540000000001,5.0
NLMJLQ,445.6666666666667,3.0,372.0,3.0,289.8,5.0,284.0,3.0,251.5,6.0,679.8,5.0,867.5,2.0,1003.75,4.0,500.0,4.0,399.6,5.0,190.0,4.0,400.3333333333333,3.0,361.5,4.0,2074.903333333333,3.0,1779.0733333333335,3.0,1554.908,5.0,1848.67,2.0,1018.255,2.0,3078.0333333333333,3.0,1358.2250000000001,2.0,1329.0475,4.0,1837.265,2.0,1699.1525000000001,4.0,1088.6,5.0,829.6939999999998,5.0,1009.816,5.0
ELNF0O,2228.0,3.0,190.0,1.0,1571.0,4.0,1683.25,4.0,3585.0,3.0,685.0,4.0,0.0,0.0,2376.0,4.0,926.25,4.0,2473.25,4.0,1681.3333333333333,3.0,639.8888888888889,9.0,1354.0,8.0,286.55,2.0,618.8320000000001,5.0,2013.435,2.0,303.23,2.0,2460.0,1.0,463.41499999999996,4.0,0.0,0.0,327.915,2.0,299.8,1.0,159.0,1.0,148.55,2.0,226.45,2.0,436.0,1.0
MQRMTK,627.5,6.0,557.125,8.0,513.0,3.0,125.0,1.0,0.0,0.0,610.0,2.0,675.01,4.0,750.8333333333334,6.0,812.8571428571429,7.0,980.5,2.0,622.0,1.0,499.6,5.0,631.6666666666666,3.0,976.1166666666667,3.0,1308.99,1.0,554.0,1.0,0.0,0.0,0.0,0.0,534.9825000000001,4.0,451.63,1.0,663.05,2.0,0.0,0.0,8368.97,1.0,1303.2824999999998,4.0,553.2,1.0,695.245,2.0
E4T26R,325.6666666666667,9.0,368.57142857142856,7.0,484.2471428571429,7.0,858.25,4.0,638.8,5.0,697.0,2.0,551.0,4.0,399.75,4.0,0.0,0.0,687.5,2.0,0.0,0.0,519.6666666666666,3.0,0.0,0.0,221.96833333333333,12.0,198.95000000000002,7.0,190.03769230769228,13.0,215.13000000000002,10.0,239.14285714285714,14.0,222.57545454545453,11.0,226.20125,8.0,230.78666666666666,9.0,342.85842105263157,19.0,270.8007692307692,13.0,277.15000000000003,11.0,298.325,12.0,283.9378571428571,14.0
EEIMB6,178.4,5.0,162.25,4.0,210.25,4.0,445.8,5.0,177.0,2.0,184.8,5.0,269.0,3.0,229.85714285714286,7.0,221.71428571428572,7.0,169.75,4.0,734.0,1.0,0.0,0.0,0.0,0.0,344.59,1.0,220.625,2.0,0.0,0.0,380.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.53,1.0,0.0,0.0,210.56,1.0,697.11,1.0,582.5033333333334,3.0,0.0,0.0
KCCCCD,972.0,1.0,569.3333333333334,3.0,690.3333333333334,3.0,509.0,2.0,539.6666666666666,3.0,457.0,1.0,450.0,2.0,491.0,4.0,538.2,5.0,707.5,4.0,372.85714285714283,7.0,412.57142857142856,7.0,333.0,4.0,0.0,0.0,160.8,1.0,113.995,2.0,74.22,2.0,99.095,2.0,319.6,1.0,143.04166666666666,6.0,181.132,5.0,250.11666666666667,3.0,672.1899999999999,3.0,194.15,3.0,99.0,1.0,164.10500000000002,4.0
9GGSFY,345.5,2.0,849.4,5.0,1436.3333333333333,3.0,768.3333333333334,3.0,0.0,0.0,0.0,0.0,530.8333333333334,6.0,340.3333333333333,6.0,634.75,4.0,382.5,4.0,856.0,3.0,338.0,7.0,418.0,3.0,749.9,4.0,422.895,2.0,198.0,1.0,0.0,0.0,807.7,2.0,0.0,0.0,1139.47,2.0,417.0,2.0,302.89,2.0,0.0,0.0,428.1,1.0,320.13,1.0,0.0,0.0
EE0PD9,210.83333333333334,6.0,785.6666666666666,6.0,1159.5,2.0,1365.5,2.0,1182.0,2.0,692.0,2.0,634.3333333333334,3.0,900.0,3.0,1111.0,3.0,659.75,4.0,505.75,4.0,627.4,5.0,109.33333333333333,3.0,527.7433333333333,3.0,705.8,1.0,552.0174999999999,4.0,569.98,2.0,861.2875,4.0,475.2425,8.0,1005.8266666666667,3.0,1140.3,1.0,972.8125000000001,4.0,1133.94,1.0,584.3233333333334,3.0,674.83,6.0,805.93,3.0
EEUPFE,899.5,4.0,660.3333333333334,3.0,934.3333333333334,3.0,640.75,4.0,564.3333333333334,3.0,656.5,4.0,744.5,4.0,524.5,4.0,876.6666666666666,3.0,933.0,4.0,0.0,0.0,1104.75,4.0,609.5,4.0,591.515,4.0,434.5514285714285,7.0,393.0,2.0,599.56,2.0,430.17499999999995,6.0,364.3275,4.0,558.47,2.0,325.504,5.0,211.04666666666665,3.0,202.94555555555556,9.0,221.54000000000002,2.0,475.8483333333333,6.0,250.0,1.0
ISXCCS,136.0,2.0,266.0,1.0,214.4,5.0,215.0,9.0,136.0,1.0,1347.0,2.0,0.0,0.0,398.0,5.0,171.2,5.0,141.5,4.0,379.5,2.0,244.25,4.0,808.0,4.0,0.0,0.0,0.0,0.0,86.41,2.0,0.0,0.0,264.552,5.0,332.08,1.0,0.0,0.0,442.832,5.0,205.65285714285716,7.0,0.0,0.0,255.35500000000002,2.0,443.67,3.0,392.826,5.0
ELD9UY,223.0,5.0,551.25,4.0,185.0,3.0,294.5,4.0,240.0,5.0,173.4,5.0,261.0,2.0,248.66666666666666,3.0,241.0,2.0,351.3333333333333,3.0,355.6666666666667,3.0,414.0,3.0,633.0,2.0,0.0,0.0,0.0,0.0,96.98,1.0,91.3,1.0,154.97,1.0,0.0,0.0,155.385,2.0,166.475,2.0,72.49000000000001,2.0,196.875,2.0,81.99,1.0,174.9466666666667,3.0,117.25666666666666,3.0
EEM4VZ,2272.0,2.0,2142.5,2.0,1229.8,5.0,1924.8,5.0,1153.3333333333333,3.0,2089.0,4.0,1549.0,3.0,1555.5,4.0,1856.5,4.0,1599.0,4.0,3144.5,2.0,1718.3333333333333,3.0,3547.0,2.0,0.0,0.0,0.0,0.0,965.7925,4.0,1322.71,3.0,707.1575,4.0,1607.88,2.0,1387.9450000000002,2.0,0.0,0.0,0.0,0.0,3175.8,1.0,0.0,0.0,1041.855,2.0,193.97,1.0
E4C5SE,652.3333333333334,3.0,0.0,0.0,2383.5,2.0,981.6666666666666,3.0,640.0,6.0,417.3333333333333,3.0,928.0,3.0,1045.25,4.0,379.5,2.0,488.6666666666667,6.0,840.3333333333334,3.0,207.33333333333334,3.0,897.75,4.0,280.2,2.0,0.0,0.0,126.21999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8,1.0,179.45,2.0,232.9,2.0,157.0633333333333,3.0,163.9,2.0,134.045,6.0,114.775,4.0
RXYYNO,373.5,4.0,268.0,1.0,585.5,4.0,353.0,4.0,501.3333333333333,3.0,364.6666666666667,3.0,0.0,0.0,578.5,2.0,401.4,5.0,541.6666666666666,6.0,710.5,4.0,434.5,6.0,0.0,0.0,89.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.9,1.0,143.0,1.0,148.0,1.0,145.5,2.0,148.0,2.0,0.0,0.0
JPLNQJ,246.8,5.0,488.6666666666667,3.0,337.0,6.0,575.2,5.0,379.3333333333333,3.0,721.3333333333334,3.0,160.0,2.0,281.0,1.0,0.0,0.0,752.0,5.0,205.0,2.0,475.5,2.0,474.8,5.0,175.235,2.0,0.0,0.0,812.5,1.0,334.29,1.0,0.0,0.0,1191.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.75,2.0,59.0,1.0,0.0,0.0,0.0,0.0
ELV4I6,160.33333333333334,3.0,283.99666666666667,3.0,213.33333333333334,3.0,207.0,4.0,338.0,1.0,224.6,5.0,260.75,4.0,491.6666666666667,3.0,257.0,3.0,164.5,2.0,211.5,4.0,210.75,4.0,249.66666666666666,3.0,924.7900000000002,5.0,598.35,5.0,860.2385714285713,7.0,904.9333333333334,3.0,777.7099999999999,8.0,593.88,3.0,740.31,1.0,842.0933333333334,6.0,270.91,1.0,883.7199999999999,5.0,1171.375,2.0,615.8916666666665,6.0,601.6987499999999,8.0
EL46Y4,0.0,0.0,229.57142857142858,7.0,34.0,1.0,646.0,1.0,89.0,5.0,189.0,4.0,0.0,0.0,215.0,2.0,180.33333333333334,6.0,73.42857142857143,7.0,177.66666666666666,3.0,0.0,0.0,131.83333333333334,6.0,19.4,2.0,116.5,1.0,141.39,2.0,122.44500000000001,2.0,144.45999999999998,2.0,150.07500000000002,4.0,129.0,1.0,432.6,1.0,68.9175,4.0,217.37000000000003,3.0,39.99,1.0,0.0,0.0,312.01,2.0
E4TTXI,538.25,4.0,346.25,4.0,299.0,2.0,379.5,2.0,472.3333333333333,3.0,180.75,4.0,390.0,2.0,89.5,2.0,186.25,4.0,320.6,5.0,345.8,5.0,585.5,2.0,502.0,2.0,93.0,1.0,0.0,0.0,156.81,2.0,436.10999999999996,3.0,252.45000000000002,3.0,170.5775,4.0,162.4025,4.0,69.6,1.0,550.8866666666667,3.0,497.8533333333333,3.0,313.49,2.0,472.9975,4.0,519.5566666666667,3.0
KGFOYN,383.0,2.0,624.5,6.0,1008.0,2.0,1069.0,3.0,660.75,4.0,630.6,5.0,1389.5,2.0,701.4,5.0,844.3333333333334,3.0,1358.0,2.0,807.0,2.0,1888.0,1.0,546.6666666666666,3.0,954.2425000000001,4.0,584.3333333333334,3.0,741.4266666666666,3.0,381.45400000000006,5.0,764.8,2.0,569.105,2.0,440.392,5.0,568.99,2.0,816.81,1.0,263.25,4.0,518.09,1.0,495.54,2.0,913.2800000000001,3.0
7GOFFG,1618.75,4.0,661.5,4.0,1065.0,3.0,959.0,3.0,607.75,4.0,727.5,4.0,995.3333333333334,3.0,1058.5,2.0,1960.3333333333333,3.0,728.0,1.0,1618.6666666666667,3.0,1180.75,4.0,733.5,2.0,437.62,2.0,773.62,1.0,948.6766666666667,3.0,776.515,2.0,546.5833333333334,3.0,546.1885714285714,7.0,542.5028571428572,7.0,521.7566666666667,6.0,390.94375,8.0,805.9849999999999,2.0,435.95166666666665,6.0,499.1775,4.0,334.94,5.0
E456G2,278.0,2.0,249.66666666666666,3.0,239.0,3.0,197.2,5.0,275.0,2.0,260.75,4.0,0.0,0.0,369.2,5.0,249.0,1.0,187.5,4.0,166.0,3.0,200.4,5.0,155.66666666666666,3.0,0.0,0.0,135.2,2.0,42.175,2.0,0.0,0.0,44.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.68,1.0,463.48,1.0
EL97XF,763.25,4.0,0.0,0.0,276.0,1.0,682.1428571428571,7.0,0.0,0.0,0.0,0.0,612.0,1.0,798.25,4.0,422.0,3.0,526.25,4.0,261.0,2.0,987.6666666666666,6.0,278.6666666666667,6.0,536.4325,4.0,725.69,1.0,949.9,1.0,259.235,4.0,0.0,0.0,399.13000000000005,3.0,0.0,0.0,426.445,2.0,435.6266666666666,3.0,795.705,2.0,498.44,1.0,258.8,1.0,232.7,1.0
ANSFXF,236.4,5.0,195.33333333333334,3.0,199.33333333333334,3.0,349.0,6.0,589.0,3.0,336.0,3.0,259.5,2.0,0.0,0.0,620.75,4.0,271.5,2.0,337.6666666666667,3.0,609.0,2.0,809.0,2.0,391.25,5.0,440.8933333333333,9.0,463.0183333333334,6.0,650.725,6.0,544.98,4.0,677.52,3.0,531.6316666666667,6.0,400.08500000000004,6.0,336.47249999999997,4.0,507.65599999999995,5.0,331.97,6.0,578.9979999999999,5.0,429.372,5.0
7SHFGD,113.0,3.0,154.6,10.0,228.2,10.0,114.33333333333333,3.0,244.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,1.0,250.0,4.0,206.0,2.0,417.5,2.0,1016.9592307692309,13.0,1062.8666666666666,6.0,802.7575,4.0,699.885,2.0,1156.53,1.0,3663.56,1.0,1972.93,1.0,864.9057142857143,7.0,476.8,1.0,467.96500000000003,4.0,136.24333333333334,3.0,533.8800000000001,4.0,820.32,5.0
E4HQ6D,183.0,2.0,388.0,1.0,254.66666666666666,3.0,210.0,4.0,180.75,4.0,223.4,5.0,313.0,1.0,0.0,0.0,70.0,2.0,139.25,4.0,236.5,4.0,154.25,4.0,268.6666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.19,2.0,126.33,1.0,0.0,0.0,150.23,2.0,0.0,0.0,86.98,1.0,112.09000000000002,3.0,0.0,0.0
EL5AQC,1724.6666666666667,3.0,2109.0,2.0,5047.0,1.0,2492.0,4.0,2748.3333333333335,3.0,2601.6666666666665,3.0,3458.5,2.0,2221.0,3.0,2630.0,2.0,3247.5,2.0,2703.0,3.0,1996.3333333333333,3.0,2666.0,5.0,0.0,0.0,846.23,1.0,521.7,1.0,61.0,1.0,993.88,1.0,110.0,1.0,0.0,0.0,282.02,1.0,966.13,2.0,587.6999999999999,3.0,0.0,0.0,567.015,2.0,311.95,2.0
NJQKMR,1388.5,2.0,1019.6666666666666,3.0,1855.5,2.0,1180.0,2.0,1249.75,4.0,2408.5,2.0,1041.6666666666667,3.0,759.0,2.0,1480.0,3.0,1408.5,2.0,824.0,6.0,1482.3333333333333,3.0,1550.0,2.0,1109.747,10.0,1385.69,5.0,812.7783333333333,6.0,947.49125,8.0,439.962,5.0,799.3340000000001,5.0,1111.3714285714284,7.0,1182.9433333333334,6.0,488.39000000000004,9.0,663.1577777777778,9.0,910.4010000000001,10.0,617.895,6.0,1736.0649999999998,6.0
RJKRJM,0.0,0.0,498.6666666666667,3.0,236.5,2.0,1167.6666666666667,6.0,434.0,5.0,767.5,4.0,754.2,5.0,137.0,1.0,0.0,0.0,677.5,4.0,0.0,0.0,1208.0,1.0,683.2,5.0,0.0,0.0,152.3,2.0,0.0,0.0,0.0,0.0,227.655,2.0,187.04333333333332,3.0,128.93333333333334,3.0,0.0,0.0,0.0,0.0,151.98,1.0,0.0,0.0,310.0,1.0,179.02,1.0
EE04CA,562.0,5.0,1152.4,5.0,585.0,4.0,627.0,2.0,557.0,3.0,599.6666666666666,3.0,667.25,4.0,722.6666666666666,3.0,809.0,2.0,975.0,2.0,511.5,2.0,0.0,0.0,484.0,1.0,226.29000000000002,2.0,638.6537500000001,8.0,466.0783333333334,6.0,593.5033333333332,3.0,413.3542857142857,7.0,369.6266666666667,3.0,498.72249999999997,4.0,743.9742857142857,7.0,579.9733333333334,3.0,551.76,3.0,588.955,6.0,670.6155555555556,9.0,779.6899999999999,4.0
KDFOXY,617.5,4.0,527.0,2.0,901.5,4.0,461.5,2.0,933.3333333333334,3.0,689.5,4.0,866.25,4.0,883.0,1.0,841.6666666666666,3.0,798.6,5.0,1146.5,2.0,0.0,0.0,903.0,1.0,1073.3274999999999,4.0,1130.966,5.0,961.0225,4.0,1699.1699999999998,2.0,1302.37,2.0,1395.0033333333333,3.0,1459.71,2.0,1700.8457142857144,7.0,505.5933333333334,3.0,1147.58,9.0,639.302,5.0,1986.78,1.0,184.5,1.0
JFXFCH,0.0,0.0,3740.0,1.0,1406.4,5.0,1175.142857142857,7.0,2081.6666666666665,3.0,1903.0,2.0,1946.0,4.0,727.5,4.0,419.5,2.0,2960.0,1.0,2015.5,2.0,2009.3333333333333,3.0,670.0,1.0,0.0,0.0,0.0,0.0,422.835,2.0,205.4,1.0,434.21,4.0,493.24000000000007,12.0,184.1975,8.0,0.0,0.0,0.0,0.0,0.0,0.0,134.63,2.0,425.24749999999995,4.0,204.26666666666665,3.0
ELTUON,0.0,0.0,0.0,0.0,9535.0,1.0,2484.0,1.0,2876.5,4.0,3555.3333333333335,3.0,1951.5,4.0,2989.0,4.0,3086.8,5.0,0.0,0.0,3653.8,5.0,3678.75,4.0,2400.5,4.0,926.6833333333334,3.0,1068.684,10.0,371.048,5.0,830.5766666666667,3.0,1113.56,2.0,1054.01,4.0,969.7575,4.0,1214.9766666666667,3.0,777.1566666666666,3.0,1056.2625,4.0,1276.8366666666668,3.0,617.8025,4.0,626.375,4.0
RMKKIR,0.0,0.0,839.25,4.0,401.25,4.0,332.2,5.0,936.0,1.0,725.8,5.0,87.0,1.0,112.0,1.0,266.0,1.0,426.6666666666667,3.0,720.75,4.0,387.3333333333333,3.0,606.6666666666666,3.0,6989.32,1.0,3968.0400000000004,3.0,4443.57,2.0,901.3542857142857,7.0,0.0,0.0,285.93333333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7CNYXD,504.25,4.0,1210.0,3.0,1521.0,2.0,521.5,4.0,810.0,1.0,607.0,1.0,0.0,0.0,832.3333333333334,3.0,664.75,4.0,616.0,3.0,496.2,5.0,888.75,4.0,0.0,0.0,633.5,2.0,477.6233333333333,3.0,1345.0,1.0,837.0,1.0,459.9666666666667,3.0,678.0,1.0,0.0,0.0,714.77,1.0,481.514,5.0,436.0,1.0,413.5,2.0,824.0475,4.0,544.37,3.0
ELQ6QK,1111.0,1.0,3235.0,1.0,1214.0,3.0,1909.6666666666667,3.0,1491.25,4.0,1290.75,4.0,636.6666666666666,3.0,1505.5,2.0,1787.0,2.0,2242.0,2.0,2266.25,4.0,1715.3333333333333,3.0,1377.0,2.0,823.9633333333335,3.0,550.245,4.0,625.47,4.0,768.61,2.0,688.4033333333333,3.0,707.02,1.0,514.95,2.0,1226.07,1.0,1101.315,2.0,959.46,1.0,1358.25,1.0,0.0,0.0,596.66,1.0
ELHVXF,220.0,1.0,592.0,3.0,800.0,2.0,481.5,2.0,566.25,4.0,293.0,2.0,315.0,1.0,588.25,4.0,804.0,2.0,601.6,5.0,823.5,2.0,1149.3333333333333,3.0,523.5,2.0,186.99,2.0,147.645,2.0,167.0,1.0,240.43555555555557,9.0,178.49,3.0,302.84999999999997,6.0,247.046,5.0,309.318,5.0,221.9325,4.0,205.502,5.0,315.04,6.0,258.93,4.0,246.70100000000002,10.0
